,TEAM_ID,TEAM_NAME_x,GP_x,W_x,L_x,W_PCT_x,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS_x,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0,1610612737,Atlanta Hawks,82,44,38,0.537,48.4,37.6,81.0,0.464,8.6,23.2,0.371,14.1,19.7,0.715,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,18.0,18.8,98.0,0.4,37.5,83.2,0.45,7.6,19.9,0.379,15.0,19.7,0.763,11.3,32.4,43.7,22.3,15.2,8.4,4.3,4.5,18.8,18.0,97.5
1,1610612738,Boston Celtics,81,41,40,0.506,49.0,37.0,79.7,0.465,6.1,17.2,0.358,16.3,21.0,0.776,8.1,31.3,39.3,22.8,14.6,8.2,4.5,4.7,21.2,19.4,96.5,-0.2,36.1,82.0,0.441,6.8,19.9,0.342,17.7,23.9,0.74,11.4,32.1,43.6,21.6,15.3,7.8,4.7,4.5,19.4,21.2,96.7
2,1610612751,Brooklyn Nets,82,49,33,0.598,48.4,35.9,79.8,0.45,7.7,21.5,0.357,17.5,23.9,0.731,12.8,30.0,42.8,20.3,14.7,7.3,4.8,4.8,18.3,21.4,96.9,1.8,37.4,80.7,0.464,6.3,17.3,0.366,14.0,19.2,0.731,10.7,28.5,39.2,21.4,13.4,7.5,4.8,4.8,21.4,18.3,95.1
3,1610612766,Charlotte Bobcats,82,21,61,0.256,48.3,34.4,81.1,0.425,5.7,17.1,0.335,18.9,25.1,0.75,11.2,29.1,40.3,19.4,14.1,7.2,5.8,6.9,19.0,21.3,93.4,-9.2,38.8,82.5,0.471,8.7,22.5,0.388,16.2,21.8,0.747,11.8,32.3,44.1,25.3,14.0,6.9,6.9,5.8,21.3,19.0,102.7
4,1610612741,Chicago Bulls,82,45,37,0.549,48.4,35.7,81.7,0.437,5.4,15.4,0.353,16.4,21.2,0.773,12.5,30.7,43.2,23.0,14.3,7.2,5.1,5.8,19.7,19.6,93.2,0.3,35.4,80.1,0.443,5.5,16.0,0.346,16.5,22.3,0.739,11.0,30.1,41.1,18.8,13.7,7.3,5.8,5.1,19.6,19.7,92.9
5,1610612739,Cleveland Cavaliers,82,24,58,0.293,48.1,36.5,84.2,0.434,6.7,19.3,0.346,16.8,22.3,0.756,12.2,28.8,41.0,20.7,14.0,7.9,4.1,6.8,21.2,19.7,96.5,-4.7,37.9,79.6,0.476,7.4,20.0,0.372,17.9,24.2,0.739,10.8,31.3,42.1,23.9,15.2,7.6,6.8,4.1,19.7,21.2,101.2
6,1610612742,Dallas Mavericks,82,41,41,0.5,48.7,38.8,84.0,0.462,7.4,19.9,0.372,16.1,20.4,0.793,9.4,32.6,41.9,23.2,14.0,7.9,5.5,4.1,20.7,18.9,101.1,-0.6,37.4,84.0,0.445,7.8,21.8,0.359,19.1,25.4,0.753,12.0,33.6,45.6,22.0,14.7,8.5,4.1,5.5,18.9,20.7,101.7
7,1610612743,Denver Nuggets,82,57,25,0.695,48.5,40.7,85.2,0.478,6.4,18.5,0.343,18.4,26.2,0.701,13.3,31.7,45.0,24.4,15.3,9.3,6.5,6.8,20.5,21.6,106.1,5.1,38.1,85.7,0.444,8.4,23.1,0.363,16.6,22.7,0.731,12.4,29.2,41.6,23.6,15.9,8.0,6.8,6.5,21.6,20.5,101.1
8,1610612765,Detroit Pistons,82,29,53,0.354,48.3,36.3,81.0,0.449,6.3,17.6,0.356,15.9,22.8,0.699,12.1,30.0,42.1,21.2,15.1,7.0,4.9,5.8,19.8,19.9,94.9,-4.0,37.3,81.2,0.459,7.4,20.4,0.36,16.9,22.2,0.762,11.1,30.7,41.8,22.4,13.7,8.4,5.8,4.9,19.9,19.8,98.8
9,1610612744,Golden State Warriors,82,47,35,0.573,48.3,38.2,83.4,0.458,8.0,19.9,0.403,16.8,21.3,0.79,10.8,34.2,45.0,22.5,15.1,6.9,4.2,4.9,21.4,19.2,101.2,0.9,37.2,84.8,0.439,8.0,23.1,0.347,17.9,23.9,0.748,11.1,31.7,42.7,23.5,13.5,8.2,4.9,4.2,19.2,21.4,100.3
10,1610612745,Houston Rockets,82,45,37,0.549,48.2,38.1,82.7,0.461,10.6,28.9,0.366,19.2,25.5,0.754,11.1,32.3,43.4,23.2,16.4,8.3,4.4,6.1,20.3,20.4,106.0,3.5,38.8,85.5,0.454,8.1,21.9,0.368,16.8,21.6,0.776,10.7,31.0,41.6,22.7,14.8,8.5,6.1,4.4,20.4,20.3,102.5
11,1610612754,Indiana Pacers,81,49,32,0.605,48.4,35.1,80.6,0.436,6.9,19.7,0.347,17.6,23.6,0.746,12.9,33.0,45.9,20.3,15.1,7.2,6.3,5.7,20.0,21.9,94.7,4.0,34.5,82.2,0.42,5.4,16.6,0.327,16.2,21.3,0.76,11.2,29.6,40.9,19.2,13.5,7.5,5.7,6.3,21.9,20.0,90.7
12,1610612746,Los Angeles Clippers,82,56,26,0.683,48.1,38.5,80.6,0.478,7.6,21.4,0.358,16.4,23.0,0.711,11.4,30.2,41.6,23.9,14.6,9.6,5.6,4.1,20.9,20.9,101.1,6.5,34.6,78.0,0.443,7.6,20.5,0.373,17.9,23.9,0.749,10.9,28.2,39.1,22.1,16.1,7.4,4.1,5.6,20.9,20.9,94.6
13,1610612747,Los Angeles Lakers,82,45,37,0.549,48.2,37.1,81.0,0.458,8.7,24.6,0.355,19.3,27.9,0.692,11.5,33.3,44.8,22.2,15.0,7.0,5.2,4.8,17.9,23.1,102.2,1.2,39.7,87.6,0.453,7.5,21.0,0.357,14.2,19.4,0.732,11.5,31.1,42.7,23.4,12.9,8.5,4.8,5.2,23.1,17.9,101.0
14,1610612763,Memphis Grizzlies,82,56,26,0.683,48.3,36.1,81.5,0.444,4.7,13.5,0.345,16.5,21.3,0.773,12.9,29.8,42.7,20.9,14.0,8.6,5.3,5.5,20.2,20.0,93.4,4.1,33.5,77.0,0.435,6.1,18.2,0.338,16.1,21.5,0.748,10.3,28.8,39.1,19.5,15.5,7.3,5.5,5.3,20.0,20.2,89.3
15,1610612748,Miami Heat,82,66,16,0.805,48.5,38.4,77.4,0.496,8.7,22.1,0.396,17.4,23.0,0.754,8.2,30.4,38.6,23.0,13.9,8.7,5.4,3.2,18.7,20.4,102.9,7.9,35.6,80.9,0.44,7.6,21.7,0.35,16.2,21.2,0.766,11.2,28.9,40.1,20.2,15.6,7.9,3.2,5.4,20.4,18.7,95.0
16,1610612749,Milwaukee Bucks,82,38,44,0.463,48.4,38.1,87.8,0.435,7.3,20.4,0.36,15.3,20.7,0.736,13.0,30.9,44.0,22.9,14.1,8.4,6.7,4.4,19.0,19.1,98.9,-1.5,38.4,84.7,0.454,6.5,18.5,0.348,17.0,22.5,0.759,12.4,33.6,46.0,23.1,16.0,8.0,4.4,6.7,19.1,19.0,100.4
