,TEAM_ID,TEAM_NAME_x,GP_x,W_x,L_x,W_PCT_x,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS_x,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0,1610612737,Atlanta Hawks,82,28,54,0.341,48.4,36.6,83.0,0.441,3.1,9.9,0.317,18.0,24.2,0.743,14.0,31.3,45.3,18.9,15.4,6.1,5.6,4.9,21.0,1.6,94.3,-5.4,39.2,86.1,0.455,4.5,12.4,0.367,16.8,21.9,0.769,12.8,30.2,43.0,23.0,12.2,8.0,4.9,5.6,22.3,21.0,99.7
1,1610612738,Boston Celtics,82,35,47,0.427,48.1,37.2,83.9,0.444,5.1,15.4,0.331,19.8,26.5,0.745,13.5,29.5,43.0,21.2,15.4,9.7,3.5,5.8,27.1,2.3,99.3,-0.8,36.1,76.9,0.47,4.4,12.1,0.361,23.5,31.3,0.753,10.5,30.9,41.4,21.9,17.0,7.8,5.8,3.5,23.5,27.1,100.1
2,1610612766,Charlotte Hornets,82,49,33,0.598,48.2,35.8,79.7,0.449,4.1,12.2,0.339,22.7,30.0,0.758,10.8,32.1,42.9,24.7,14.7,8.9,5.9,5.1,20.4,2.2,98.4,2.7,37.2,83.1,0.448,5.0,13.2,0.378,16.4,22.0,0.745,11.8,31.1,42.9,23.2,15.8,7.4,5.1,5.9,25.3,20.4,95.8
3,1610612741,Chicago Bulls,82,17,65,0.207,48.3,31.3,75.4,0.415,4.1,12.6,0.329,18.1,25.5,0.709,12.6,28.3,40.9,20.0,19.0,7.9,4.7,5.6,23.3,2.6,84.8,-9.4,35.6,78.0,0.456,4.4,12.8,0.341,18.7,25.2,0.741,12.2,29.5,41.7,23.2,15.2,10.4,5.6,4.7,24.0,23.3,94.2
4,1610612739,Cleveland Cavaliers,82,32,50,0.39,48.4,36.3,82.1,0.442,4.2,11.2,0.373,20.2,26.9,0.75,12.3,30.5,42.8,23.7,17.4,8.7,4.4,6.1,27.1,3.0,97.0,-3.5,36.4,82.1,0.443,5.1,15.0,0.341,22.6,29.1,0.776,12.4,31.5,43.9,23.7,16.9,8.0,6.1,4.4,25.1,27.1,100.5
5,1610612742,Dallas Mavericks,82,40,42,0.488,48.1,39.0,85.9,0.453,6.3,16.2,0.391,17.2,21.4,0.804,11.4,29.8,41.2,22.1,13.7,7.2,5.1,5.1,21.6,3.8,101.4,-0.6,39.3,86.0,0.457,5.2,15.2,0.345,18.1,24.5,0.74,15.3,33.2,48.4,23.2,16.1,7.4,5.1,5.1,22.1,21.6,102.0
6,1610612743,Denver Nuggets,82,35,47,0.427,48.4,37.3,84.3,0.442,5.7,17.0,0.336,18.7,25.8,0.724,13.1,31.6,44.7,23.3,15.6,6.8,7.5,5.6,23.9,2.5,99.0,-2.1,38.2,84.8,0.45,4.9,13.7,0.354,19.9,26.5,0.751,12.5,31.8,44.3,24.4,14.4,7.5,5.6,7.5,23.6,23.9,101.1
7,1610612765,Detroit Pistons,82,42,40,0.512,48.4,37.1,80.9,0.459,5.4,14.9,0.359,23.9,30.6,0.781,11.2,30.0,41.2,20.8,15.7,8.1,3.3,4.8,24.5,3.5,103.5,1.4,38.0,81.8,0.465,5.6,15.0,0.371,20.4,27.3,0.746,11.9,30.5,42.4,23.1,17.1,8.0,4.8,3.3,27.1,24.5,102.0
8,1610612744,Golden State Warriors,82,19,63,0.232,48.2,36.5,87.1,0.42,4.2,13.0,0.323,18.3,26.2,0.697,15.9,29.7,45.6,22.6,15.9,8.9,4.3,6.0,24.9,2.0,95.5,-8.3,38.6,82.6,0.467,5.2,14.2,0.367,21.4,28.4,0.754,13.3,32.8,46.1,24.8,16.3,8.4,6.0,4.3,23.0,24.9,103.8
9,1610612745,Houston Rockets,82,34,48,0.415,48.4,36.6,81.3,0.45,7.1,19.8,0.358,19.2,26.2,0.733,12.3,31.5,43.8,21.6,17.4,7.5,5.3,5.3,20.3,1.8,99.5,-0.9,39.3,86.3,0.456,4.3,12.1,0.354,17.4,22.3,0.779,12.5,29.9,42.4,22.7,13.7,9.0,5.3,5.3,22.4,20.3,100.3
