,TEAM_ID,TEAM_NAME_x,GP_x,W_x,L_x,W_PCT_x,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS_x,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0,1610612737,Atlanta Hawks,82,44,38,0.537,48.1,36.2,78.4,0.462,6.1,17.4,0.352,16.4,21.1,0.779,9.3,30.0,39.3,22.0,13.6,6.1,4.2,4.2,19.0,18.5,95.0,-0.8,36.7,79.7,0.46,5.6,16.6,0.338,16.8,21.7,0.774,10.2,30.3,40.6,21.4,12.5,6.7,4.2,4.2,18.5,19.0,95.8
1,1610612738,Boston Celtics,82,56,26,0.683,48.2,36.9,75.8,0.486,5.0,13.6,0.365,17.8,23.1,0.77,7.8,31.0,38.8,23.4,14.6,8.2,4.2,4.4,20.5,20.2,96.5,5.4,33.8,77.7,0.434,5.4,15.9,0.34,18.2,24.1,0.756,10.5,29.1,39.6,18.7,15.4,7.0,4.4,4.2,20.2,20.5,91.1
2,1610612766,Charlotte Bobcats,82,34,48,0.415,48.3,35.0,77.6,0.451,4.8,14.7,0.327,18.4,24.4,0.756,10.3,29.8,40.1,21.1,14.5,6.4,5.3,6.0,20.0,21.1,93.3,-4.0,36.0,79.2,0.455,7.0,19.6,0.359,18.2,23.3,0.78,9.8,29.8,39.6,21.7,13.2,7.3,6.0,5.3,21.1,20.0,97.3
3,1610612741,Chicago Bulls,82,62,20,0.756,48.4,37.1,80.3,0.462,6.2,17.3,0.361,18.2,24.5,0.743,11.8,32.4,44.2,22.3,14.2,7.2,5.7,5.8,20.0,20.1,98.6,7.3,34.2,79.5,0.43,5.2,16.0,0.326,17.7,23.1,0.764,10.1,28.3,38.4,19.0,14.1,6.9,5.8,5.7,20.1,20.0,91.3
4,1610612739,Cleveland Cavaliers,82,19,63,0.232,48.2,35.2,81.1,0.434,6.2,18.2,0.342,18.9,25.3,0.745,10.4,29.9,40.3,21.0,14.2,6.6,4.2,6.0,20.1,21.3,95.5,-9.0,39.4,83.0,0.475,8.1,19.7,0.411,17.5,23.1,0.759,10.9,32.6,43.5,24.2,13.5,7.5,6.0,4.2,21.3,20.1,104.5
5,1610612742,Dallas Mavericks,82,57,25,0.695,48.1,37.4,78.8,0.475,7.9,21.6,0.365,17.5,22.6,0.777,9.5,31.9,41.4,23.8,14.0,6.8,4.3,3.7,19.2,20.1,100.2,4.2,36.5,81.2,0.45,6.2,18.0,0.343,16.7,22.3,0.75,10.7,30.0,40.7,20.6,13.6,7.6,3.7,4.3,20.1,19.2,96.0
6,1610612743,Denver Nuggets,82,50,32,0.61,48.1,38.4,80.6,0.476,8.1,20.8,0.388,22.7,29.6,0.765,9.6,32.3,42.0,22.1,14.1,7.4,4.3,6.0,21.0,22.7,107.5,4.8,38.5,83.9,0.459,7.0,20.4,0.344,18.8,24.8,0.756,10.5,30.8,41.3,22.2,13.7,7.5,6.0,4.3,22.7,21.0,102.7
7,1610612765,Detroit Pistons,82,30,52,0.366,48.5,37.3,81.1,0.46,5.8,15.3,0.376,16.7,22.6,0.737,11.4,27.3,38.6,21.1,13.0,7.3,4.0,4.6,19.9,18.8,97.0,-3.6,37.9,78.1,0.486,6.4,17.8,0.358,18.3,23.9,0.766,10.6,30.1,40.7,23.3,14.1,6.9,4.6,4.0,18.8,19.9,100.6
8,1610612744,Golden State Warriors,82,36,46,0.439,48.4,39.6,85.9,0.461,8.4,21.3,0.392,15.7,20.7,0.761,11.6,28.9,40.5,22.5,14.6,9.0,5.0,4.3,22.0,18.4,103.4,-2.3,38.7,82.8,0.467,6.9,19.3,0.358,21.4,27.6,0.776,12.8,32.0,44.8,24.7,16.1,8.2,4.3,5.0,18.4,22.0,105.7
9,1610612745,Houston Rockets,82,43,39,0.524,48.5,38.7,85.1,0.454,8.3,22.5,0.367,20.3,25.4,0.801,11.7,31.1,42.8,23.8,13.5,7.1,4.5,5.5,20.0,21.4,105.9,2.2,39.8,85.1,0.468,5.5,15.2,0.358,18.6,23.8,0.781,11.6,31.1,42.8,20.8,13.7,7.2,5.5,4.5,21.4,20.0,103.7
10,1610612754,Indiana Pacers,82,37,45,0.451,48.2,36.6,82.8,0.442,7.1,20.2,0.354,19.4,24.8,0.782,11.1,32.4,43.5,19.6,15.4,7.1,5.6,5.7,21.7,21.4,99.8,-1.1,37.5,83.4,0.449,6.2,17.4,0.359,19.7,26.3,0.75,11.4,31.9,43.3,20.4,13.9,7.5,5.7,5.6,21.4,21.7,100.9
11,1610612746,Los Angeles Clippers,82,32,50,0.39,48.4,36.8,80.4,0.457,6.3,18.5,0.338,18.9,26.7,0.707,11.6,30.5,42.1,22.1,16.4,7.1,4.9,4.9,21.1,22.1,98.6,-3.1,37.1,81.6,0.455,7.1,19.5,0.365,20.4,26.4,0.771,11.1,29.4,40.5,22.3,13.7,8.0,4.9,4.9,22.1,21.1,101.8
12,1610612747,Los Angeles Lakers,82,57,25,0.695,48.4,38.1,82.4,0.463,6.4,18.1,0.352,18.8,24.1,0.779,12.1,31.9,44.0,22.0,13.1,7.3,5.1,4.5,19.0,20.7,101.5,6.1,36.7,84.0,0.437,6.8,20.3,0.335,15.2,19.9,0.765,12.2,29.3,41.5,22.3,13.6,7.1,4.5,5.1,20.7,19.0,95.4
13,1610612763,Memphis Grizzlies,82,46,36,0.561,48.5,39.0,82.9,0.471,3.8,11.3,0.334,18.1,24.2,0.75,11.8,29.2,41.0,20.6,14.0,9.4,5.4,6.2,20.8,21.4,99.9,2.3,36.2,79.1,0.457,7.2,19.4,0.369,18.1,23.8,0.761,11.0,29.1,40.1,21.0,16.7,7.5,6.2,5.4,21.4,20.8,97.6
14,1610612748,Miami Heat,82,58,24,0.707,48.2,37.0,76.8,0.481,6.7,18.0,0.37,21.5,27.9,0.769,9.6,32.5,42.1,20.0,13.9,6.6,5.2,3.0,20.4,21.8,102.1,7.5,35.0,80.7,0.434,6.7,19.3,0.345,18.0,24.1,0.744,10.5,28.6,39.2,20.1,13.2,7.0,3.0,5.2,21.8,20.4,94.6
15,1610612749,Milwaukee Bucks,82,35,47,0.427,48.4,34.3,79.8,0.43,5.9,17.2,0.342,17.4,22.9,0.757,10.5,30.2,40.8,18.8,13.5,7.5,4.9,4.8,20.5,20.7,91.9,-0.8,34.6,77.3,0.447,5.3,16.0,0.334,18.3,23.7,0.77,10.2,32.1,42.3,20.2,15.2,6.2,4.8,4.9,20.7,20.5,92.7
