,TEAM_ID,TEAM_NAME_x,GP_x,W_x,L_x,W_PCT_x,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS_x,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0,1610612737,Atlanta Hawks,82,56,26,0.683,48.3,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,12.5,28.7,41.1,19.0,15.0,8.5,5.2,4.0,19.4,0.1,94.8,5.4,34.2,78.7,0.435,5.9,17.1,0.347,15.1,20.4,0.737,12.7,27.1,39.9,20.3,15.5,7.4,4.0,5.2,21.3,19.4,89.4
1,1610612738,Boston Celtics,82,15,67,0.183,48.5,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,0.75,13.3,26.7,40.0,21.9,16.4,9.9,3.8,6.8,23.4,0.1,100.6,-7.3,41.0,81.7,0.503,6.0,16.5,0.365,19.8,27.5,0.72,12.3,32.0,44.3,26.0,17.6,8.8,6.8,3.8,22.3,23.4,107.9
2,1610612766,Charlotte Hornets,82,54,28,0.659,48.3,36.4,77.3,0.471,7.2,16.9,0.428,18.8,24.2,0.777,11.1,28.0,39.1,24.6,14.7,7.3,4.3,4.1,20.8,0.2,98.9,1.9,37.3,81.1,0.46,5.9,16.6,0.357,16.5,22.6,0.73,13.1,27.5,40.6,21.7,13.9,6.5,4.1,4.3,21.7,20.8,97.0
3,1610612741,Chicago Bulls,82,69,13,0.841,48.1,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,0.747,15.1,30.0,45.1,26.1,13.5,8.7,4.0,3.5,19.7,0.2,103.1,10.8,35.3,81.1,0.436,5.7,17.2,0.335,15.9,21.6,0.737,13.3,26.9,40.2,19.7,15.8,7.6,3.5,4.0,21.1,19.7,92.3
4,1610612739,Cleveland Cavaliers,82,42,40,0.512,48.4,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,0.723,11.1,26.3,37.4,20.9,14.5,8.0,3.8,4.3,23.0,0.2,87.5,1.8,30.3,68.8,0.441,5.6,15.0,0.373,19.4,26.1,0.742,10.3,26.7,37.0,20.1,16.2,6.7,4.3,3.8,21.3,23.0,85.6
5,1610612742,Dallas Mavericks,82,24,58,0.293,48.3,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,0.717,12.7,27.6,40.3,20.3,16.1,8.0,4.3,5.3,21.9,0.2,90.6,-6.4,36.2,78.9,0.458,6.6,17.6,0.373,18.1,24.1,0.751,13.4,29.6,43.0,21.9,15.7,8.4,5.3,4.3,20.7,21.9,97.0
6,1610612743,Denver Nuggets,82,21,61,0.256,48.6,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,0.761,12.1,29.9,42.0,23.0,16.6,6.1,5.9,5.5,21.8,0.2,97.8,-6.3,40.2,86.1,0.467,5.9,15.0,0.393,17.8,23.7,0.75,13.2,30.0,43.2,22.5,12.9,8.9,5.5,5.9,21.0,21.8,104.1
7,1610612765,Detroit Pistons,82,54,28,0.659,48.4,34.5,74.3,0.464,7.1,18.3,0.388,18.1,24.3,0.745,10.5,28.0,38.4,19.0,12.7,7.7,3.5,3.4,20.1,0.2,94.2,5.2,33.8,76.0,0.444,6.4,17.4,0.369,15.0,20.3,0.737,11.8,27.6,39.4,21.9,14.6,6.0,3.4,3.5,21.8,20.1,88.9
8,1610612744,Golden State Warriors,82,30,52,0.366,48.5,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,0.778,13.2,27.5,40.8,22.2,17.2,7.5,4.4,4.8,21.8,0.1,99.6,-4.7,39.0,82.1,0.475,7.1,19.0,0.373,19.2,25.6,0.75,13.3,27.7,41.0,26.3,15.7,10.0,4.8,4.4,23.0,21.8,104.4
9,1610612745,Houston Rockets,82,57,25,0.695,48.4,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,0.755,11.3,31.3,42.6,24.5,16.6,8.4,4.2,4.5,19.6,0.2,100.6,4.5,37.0,83.5,0.443,6.3,18.9,0.335,15.9,21.8,0.729,12.5,28.4,41.0,22.4,14.3,8.9,4.5,4.2,21.2,19.6,96.1
10,1610612754,Indiana Pacers,82,39,43,0.476,48.6,34.8,76.3,0.456,5.2,13.8,0.381,20.6,28.5,0.722,12.5,29.1,41.7,21.3,16.3,7.1,4.8,5.1,24.1,0.3,95.4,1.0,34.1,77.5,0.44,6.1,17.6,0.347,20.0,26.6,0.753,12.2,27.6,39.8,21.2,15.7,8.5,5.1,4.8,23.8,24.1,94.4
11,1610612746,Los Angeles Clippers,82,36,46,0.439,48.6,36.5,81.7,0.446,5.8,16.3,0.354,18.5,25.3,0.731,13.3,27.3,40.7,20.3,16.0,8.9,5.4,5.1,24.0,0.1,97.2,-2.4,36.3,78.6,0.462,5.9,16.4,0.357,21.1,28.2,0.749,12.8,29.9,42.7,20.2,16.7,9.0,5.1,5.4,22.7,24.0,99.5
12,1610612747,Los Angeles Lakers,82,56,26,0.683,48.6,36.8,81.0,0.454,6.7,18.3,0.367,19.7,28.4,0.692,13.3,29.4,42.8,22.5,14.9,9.0,7.0,4.7,22.2,0.1,100.0,4.3,35.6,80.7,0.441,5.8,16.8,0.347,18.6,25.9,0.718,13.5,28.9,42.4,22.9,16.4,7.6,4.7,7.0,23.6,22.2,95.7
13,1610612748,Miami Heat,82,61,21,0.744,48.3,34.4,76.0,0.453,8.3,22.7,0.364,17.7,24.7,0.719,11.7,29.3,41.0,21.2,15.9,7.9,5.4,4.8,23.4,0.3,94.8,5.5,32.8,75.9,0.432,5.0,13.8,0.362,18.8,25.7,0.731,12.2,28.3,40.5,18.4,16.2,7.9,4.8,5.4,22.3,23.4,89.3
14,1610612749,Milwaukee Bucks,82,33,49,0.402,48.1,36.2,76.9,0.471,4.0,11.2,0.352,19.0,25.7,0.741,11.6,27.6,39.2,19.6,15.7,7.7,4.2,4.8,23.1,0.1,95.3,-1.9,36.6,77.5,0.472,4.5,13.2,0.342,19.6,26.8,0.731,11.9,27.5,39.4,22.2,14.6,8.4,4.8,4.2,21.7,23.1,97.2
15,1610612750,Minnesota Timberwolves,82,40,42,0.488,48.2,35.8,78.5,0.456,4.5,13.3,0.339,20.0,26.6,0.751,11.7,28.1,39.7,22.9,15.2,7.5,6.8,5.4,22.2,0.2,96.1,-1.5,35.9,79.7,0.45,5.7,15.7,0.362,20.1,26.6,0.754,13.0,28.8,41.9,21.8,15.7,8.0,5.4,6.8,22.3,22.2,97.6
16,1610612751,New Jersey Nets,82,26,56,0.317,48.2,36.5,86.5,0.422,5.9,16.7,0.353,18.3,24.8,0.74,17.2,29.0,46.2,21.0,15.7,8.3,5.9,6.3,22.7,0.2,97.2,-4.6,37.8,81.5,0.464,6.3,17.0,0.372,19.9,26.6,0.745,13.0,30.0,43.0,23.5,15.3,8.3,6.3,5.9,21.7,22.7,101.8
17,1610612752,New York Knicks,82,57,25,0.695,48.4,35.1,75.9,0.463,5.7,15.8,0.363,19.3,25.8,0.748,11.9,30.7,42.5,22.1,17.8,7.7,4.6,3.6,24.8,0.2,95.4,3.1,32.5,76.5,0.425,5.9,16.8,0.35,21.4,29.1,0.733,11.1,27.1,38.2,19.4,16.3,8.9,3.6,4.6,23.0,24.8,92.2
18,1610612753,Orlando Magic,82,45,37,0.549,48.4,34.6,79.2,0.437,6.9,20.3,0.341,18.0,24.1,0.746,13.1,27.1,40.1,20.6,15.2,8.5,4.4,5.1,20.0,0.1,94.1,-0.4,36.2,78.7,0.46,5.5,16.2,0.343,16.6,22.7,0.732,13.2,29.2,42.4,21.9,16.0,8.6,5.1,4.4,21.6,20.0,94.5
19,1610612755,Philadelphia 76ers,82,22,60,0.268,48.2,36.6,83.5,0.438,5.3,16.5,0.319,21.7,29.9,0.725,15.5,28.7,44.2,20.7,17.5,8.3,4.8,6.0,21.1,0.1,100.2,-6.5,40.4,85.9,0.47,6.8,18.6,0.365,19.1,26.0,0.733,14.5,29.9,44.4,25.2,15.6,10.0,6.0,4.8,24.5,21.1,106.7
20,1610612756,Phoenix Suns,82,40,42,0.488,48.4,38.3,81.8,0.469,6.4,17.4,0.369,19.7,25.9,0.761,11.2,29.0,40.1,25.2,14.4,8.1,3.9,4.5,21.1,0.1,102.8,0.7,38.8,83.1,0.467,6.6,18.0,0.368,17.9,24.2,0.739,12.8,30.0,42.8,24.3,15.8,8.1,4.5,3.9,22.4,21.1,102.2
21,1610612757,Portland Trail Blazers,82,49,33,0.598,48.4,36.6,78.8,0.464,6.1,17.1,0.358,19.7,27.6,0.713,12.9,30.4,43.3,20.8,16.5,7.8,5.3,5.2,23.5,0.2,99.0,4.2,34.1,78.3,0.436,5.6,15.6,0.357,21.0,28.4,0.739,11.6,26.8,38.4,20.8,15.1,8.0,5.2,5.3,23.0,23.5,94.8
22,1610612758,Sacramento Kings,82,34,48,0.415,48.3,36.6,80.6,0.454,5.0,12.9,0.391,18.2,25.2,0.723,13.4,28.1,41.5,21.9,16.2,7.2,4.4,5.2,23.5,0.4,96.4,-3.9,36.7,79.5,0.462,5.4,15.3,0.353,21.0,28.5,0.737,13.0,28.5,41.5,21.7,15.3,8.7,5.2,4.4,21.8,23.4,99.8
23,1610612759,San Antonio Spurs,82,20,62,0.244,48.1,34.5,77.9,0.442,4.6,14.4,0.32,16.9,23.5,0.719,13.4,26.0,39.4,20.3,15.2,7.9,5.3,5.5,21.5,0.2,90.5,-7.9,36.6,77.8,0.471,6.7,17.4,0.387,18.4,24.9,0.738,12.8,28.1,40.9,23.8,14.4,8.1,5.5,5.3,20.1,21.5,98.3
24,1610612760,Seattle SuperSonics,82,57,25,0.695,48.2,36.5,78.2,0.467,6.8,19.3,0.353,21.0,28.0,0.752,12.3,27.7,40.0,23.5,15.0,11.0,4.7,5.2,22.0,0.2,100.9,7.7,33.6,76.3,0.441,7.5,20.0,0.372,18.5,24.9,0.741,12.4,27.5,39.9,21.3,18.7,7.7,5.2,4.7,23.5,22.0,93.2
25,1610612761,Toronto Raptors,82,30,52,0.366,48.4,35.3,80.9,0.437,7.2,19.8,0.363,17.6,24.5,0.72,13.8,27.5,41.3,20.9,16.4,8.8,6.3,5.4,23.0,0.1,95.5,-3.1,36.2,77.9,0.465,6.1,17.4,0.348,20.1,27.7,0.724,12.6,28.7,41.3,24.0,16.3,8.2,5.4,6.3,21.9,23.0,98.6
26,1610612762,Utah Jazz,82,64,18,0.78,48.4,38.2,75.8,0.504,4.1,11.0,0.37,22.7,29.5,0.769,10.8,29.4,40.2,26.8,15.4,9.1,5.1,4.5,24.1,0.2,103.1,8.8,33.0,75.5,0.438,6.4,18.0,0.352,21.9,29.2,0.75,11.7,25.6,37.3,19.4,16.2,7.8,4.5,5.1,24.9,24.1,94.3
