,TEAM_ID,TEAM_NAME_x,GP_x,W_x,L_x,W_PCT_x,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS_x,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0,1610612737,Atlanta Hawks,82,47,35,0.573,48.1,36.0,78.7,0.458,7.3,19.9,0.366,18.7,25.4,0.737,10.6,29.4,40.0,20.2,12.8,7.4,4.6,4.3,19.6,20.5,98.1,1.6,36.6,80.6,0.454,6.4,18.2,0.353,16.9,22.0,0.769,11.6,30.3,41.9,20.8,13.7,6.5,4.3,4.6,20.5,19.6,96.5
1,1610612738,Boston Celtics,82,62,20,0.756,48.5,37.5,77.2,0.486,6.6,16.5,0.397,19.4,25.3,0.765,10.6,31.5,42.1,22.7,15.6,7.6,4.7,4.7,23.1,22.2,100.9,7.5,33.7,78.3,0.431,6.2,17.7,0.349,19.8,25.7,0.771,10.2,27.4,37.6,18.9,14.6,7.1,4.7,4.7,22.2,23.1,93.4
2,1610612766,Charlotte Bobcats,82,35,47,0.427,48.6,35.0,76.8,0.455,6.0,16.3,0.366,17.7,24.0,0.74,10.8,28.9,39.7,21.2,15.6,7.1,4.8,6.0,21.4,20.9,93.6,-1.3,35.2,77.4,0.454,6.8,18.6,0.366,17.8,23.5,0.756,10.7,28.2,38.9,19.6,14.7,7.6,6.0,4.8,20.9,21.4,94.9
3,1610612741,Chicago Bulls,82,41,41,0.5,48.6,38.1,83.5,0.457,6.0,15.8,0.381,19.9,25.0,0.796,11.8,30.3,42.1,21.1,14.5,7.5,5.5,5.5,20.8,20.8,102.2,-0.3,38.3,83.7,0.458,5.9,17.1,0.347,19.9,25.3,0.786,12.4,30.4,42.8,21.0,14.4,7.6,5.5,5.5,20.8,20.8,102.5
4,1610612739,Cleveland Cavaliers,82,66,16,0.805,48.2,36.9,78.7,0.468,8.0,20.4,0.393,18.6,24.5,0.757,10.8,31.4,42.2,20.3,12.7,7.2,5.3,4.1,20.3,20.3,100.3,8.9,33.8,78.6,0.431,5.9,17.6,0.333,17.8,23.1,0.77,10.7,28.2,38.9,19.1,13.9,6.3,4.1,5.3,20.3,20.3,91.4
5,1610612742,Dallas Mavericks,82,50,32,0.61,48.3,38.1,82.6,0.462,7.0,19.9,0.35,18.5,22.6,0.819,11.1,31.6,42.7,21.7,12.7,7.2,5.2,4.1,19.5,20.1,101.7,2.0,37.5,82.3,0.455,6.3,16.8,0.375,18.6,23.3,0.798,10.8,30.6,41.4,19.6,13.0,7.2,4.1,5.2,20.1,19.5,99.8
6,1610612743,Denver Nuggets,82,54,28,0.659,48.1,37.3,79.4,0.47,6.7,18.0,0.371,23.1,30.3,0.76,11.0,30.6,41.6,22.2,15.3,8.7,6.0,5.5,22.9,23.7,104.3,3.4,36.2,82.2,0.44,7.3,20.0,0.366,21.2,27.2,0.782,12.1,29.2,41.2,21.4,15.4,7.9,5.5,6.0,23.7,22.9,100.9
7,1610612765,Detroit Pistons,82,39,43,0.476,48.5,36.4,80.0,0.454,4.6,13.2,0.349,16.9,22.5,0.751,11.6,29.9,41.4,20.6,11.9,6.0,4.6,4.2,20.9,19.7,94.2,-0.5,35.1,77.8,0.451,5.3,15.0,0.354,19.3,24.9,0.775,10.5,29.9,40.4,20.1,11.8,5.6,4.2,4.6,19.7,20.9,94.7
8,1610612744,Golden State Warriors,82,29,53,0.354,48.5,39.4,86.0,0.458,6.7,18.0,0.373,23.1,29.2,0.791,11.6,30.4,42.0,20.9,14.6,7.8,6.4,5.0,22.5,23.5,108.6,-3.7,41.5,88.7,0.468,7.1,18.7,0.38,22.3,28.6,0.779,14.2,32.9,47.1,24.1,15.0,7.9,5.0,6.4,23.5,22.5,112.3
9,1610612745,Houston Rockets,82,53,29,0.646,48.3,36.1,79.6,0.453,7.6,20.2,0.375,18.7,23.2,0.805,10.5,32.5,43.0,20.3,14.1,6.7,4.3,5.3,18.9,20.6,98.4,4.0,36.5,82.1,0.444,5.7,15.8,0.357,15.8,21.1,0.749,10.6,29.3,39.9,19.8,12.3,7.2,5.3,4.3,20.6,18.9,94.4
10,1610612754,Indiana Pacers,82,36,46,0.439,48.4,39.3,86.3,0.455,8.0,21.0,0.378,18.6,23.0,0.807,11.3,32.5,43.7,21.6,14.5,7.0,5.3,5.4,23.1,20.6,105.1,-1.1,38.3,83.7,0.458,6.9,18.5,0.375,22.6,29.6,0.764,11.1,33.0,44.1,21.1,14.0,7.7,5.4,5.3,20.6,23.1,106.2
11,1610612746,Los Angeles Clippers,82,19,63,0.232,48.5,36.0,81.7,0.441,6.5,18.5,0.354,16.5,22.4,0.736,10.9,29.0,39.8,21.0,14.9,7.0,5.9,5.0,20.1,19.6,95.1,-8.8,39.2,83.0,0.473,6.5,17.5,0.375,18.9,24.8,0.76,11.7,32.4,44.1,23.8,13.3,8.0,5.0,5.9,19.6,20.1,103.9
12,1610612747,Los Angeles Lakers,82,65,17,0.793,48.2,40.3,85.1,0.474,6.7,18.5,0.361,19.6,25.5,0.77,12.4,31.5,43.9,23.3,13.5,8.8,5.1,4.8,20.7,22.1,106.9,7.7,37.2,83.2,0.447,7.1,20.7,0.345,17.7,23.5,0.753,11.7,29.8,41.5,22.6,15.5,7.7,4.8,5.1,22.1,20.7,99.3
13,1610612763,Memphis Grizzlies,82,24,58,0.293,48.3,34.9,77.0,0.454,4.9,13.5,0.36,19.1,25.3,0.756,10.3,28.5,38.8,17.4,15.3,7.5,4.7,5.4,21.7,21.8,93.9,-5.5,36.8,77.8,0.473,6.5,18.4,0.355,19.2,24.9,0.77,10.3,29.6,39.9,21.2,14.6,7.7,5.4,4.7,21.8,21.7,99.3
14,1610612748,Miami Heat,82,43,39,0.524,48.7,37.0,81.0,0.457,7.1,19.9,0.357,17.2,22.8,0.754,10.1,29.4,39.5,20.4,12.5,7.9,5.5,4.1,20.7,19.9,98.3,0.3,35.6,78.2,0.455,7.2,18.5,0.389,19.6,25.4,0.771,10.9,30.9,41.9,20.1,15.2,6.4,4.1,5.5,19.9,20.7,98.0
15,1610612749,Milwaukee Bucks,82,34,48,0.415,48.2,36.7,82.4,0.445,6.2,17.2,0.363,19.7,25.2,0.78,11.9,28.9,40.7,22.0,14.1,7.4,3.8,4.6,24.2,22.5,99.3,-1.1,34.8,76.0,0.458,6.9,18.1,0.378,23.9,30.2,0.791,10.1,30.8,41.0,21.1,16.5,7.5,4.6,3.8,22.5,24.2,100.4
16,1610612750,Minnesota Timberwolves,82,24,58,0.293,48.3,36.4,82.5,0.441,6.6,18.8,0.353,18.3,23.9,0.769,11.9,29.8,41.7,20.4,14.2,6.2,3.9,5.9,21.8,20.0,97.8,-4.9,37.9,80.0,0.474,6.5,17.3,0.377,20.3,26.2,0.778,9.9,31.0,40.9,21.5,12.5,7.4,5.9,3.9,20.0,21.8,102.7
