,TEAM_ID,TEAM_NAME_x,GP_x,W_x,L_x,W_PCT_x,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS_x,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0,1610612737,Atlanta Hawks,82,25,57,0.305,48.1,35.1,81.3,0.431,4.1,11.4,0.357,16.8,22.1,0.759,12.5,30.4,42.9,19.0,16.7,7.7,4.7,6.3,22.7,0.1,91.0,-5.2,35.6,80.6,0.442,4.8,13.2,0.367,20.1,26.3,0.765,12.5,30.9,43.5,21.2,14.8,8.5,6.3,4.7,20.7,22.7,96.2
1,1610612738,Boston Celtics,82,36,46,0.439,48.4,33.8,79.1,0.428,7.2,19.9,0.363,19.8,26.7,0.74,10.9,28.9,39.8,20.8,15.7,9.4,4.1,5.4,23.8,0.0,94.6,-2.1,35.8,78.0,0.459,5.2,14.3,0.368,19.9,26.6,0.75,10.8,32.3,43.1,23.0,17.1,7.9,5.4,4.1,23.2,23.8,96.8
2,1610612766,Charlotte Hornets,82,46,36,0.561,48.5,34.1,79.3,0.431,4.1,12.0,0.346,19.5,26.2,0.745,12.6,31.8,44.4,23.2,14.4,8.1,5.5,4.6,21.4,0.1,91.9,2.1,33.7,79.3,0.426,4.7,13.2,0.36,17.6,23.3,0.756,10.9,29.7,40.6,21.3,14.7,7.5,4.6,5.5,21.6,21.4,89.8
3,1610612741,Chicago Bulls,82,15,67,0.183,48.4,33.2,78.2,0.424,4.0,11.6,0.346,17.2,23.3,0.739,11.3,27.6,38.9,22.1,15.8,8.2,4.6,5.2,23.2,0.0,87.6,-9.1,36.4,77.2,0.472,4.2,11.9,0.356,19.6,26.9,0.73,11.7,31.1,42.8,23.6,14.8,7.7,5.2,4.6,21.4,23.2,96.7
4,1610612739,Cleveland Cavaliers,82,30,52,0.366,48.4,35.2,79.7,0.442,2.7,8.0,0.334,19.0,24.9,0.765,12.4,29.8,42.1,20.8,16.5,7.8,5.3,6.6,23.2,0.1,92.2,-4.2,35.7,80.3,0.445,5.1,14.1,0.365,19.9,25.9,0.768,12.1,29.3,41.3,22.9,15.0,8.5,6.6,5.3,22.1,23.2,96.5
5,1610612742,Dallas Mavericks,82,53,29,0.646,48.3,37.6,81.9,0.459,6.3,16.5,0.381,18.9,23.8,0.794,10.1,31.4,41.5,21.2,13.9,7.5,6.0,4.6,23.3,0.1,100.5,4.3,35.8,81.6,0.439,4.6,13.9,0.334,19.9,27.2,0.731,13.0,32.0,45.0,21.7,15.5,7.6,4.6,6.0,22.5,23.3,96.2
6,1610612743,Denver Nuggets,82,40,42,0.488,48.2,36.3,83.9,0.433,6.2,17.6,0.355,17.7,24.0,0.737,12.7,31.5,44.2,24.0,13.9,6.7,6.6,6.1,22.2,0.0,96.6,-2.5,37.6,84.3,0.446,5.1,14.2,0.356,18.8,25.0,0.753,12.3,32.2,44.6,24.9,13.1,7.2,6.1,6.6,21.4,22.2,99.0
7,1610612765,Detroit Pistons,82,32,50,0.39,48.4,35.6,83.9,0.424,4.7,13.6,0.35,19.6,27.2,0.721,13.5,32.0,45.5,19.9,15.9,7.5,5.5,4.8,23.8,0.1,95.6,-1.7,36.3,83.5,0.434,5.2,15.0,0.348,19.5,26.5,0.736,12.3,32.6,44.9,22.7,15.5,8.2,4.8,5.5,25.1,23.8,97.3
8,1610612744,Golden State Warriors,82,17,65,0.207,48.2,35.8,87.5,0.409,3.4,11.8,0.293,17.4,24.7,0.706,16.4,29.1,45.5,21.8,15.9,9.0,5.0,6.0,21.1,0.1,92.5,-9.0,38.8,82.2,0.472,5.4,14.1,0.379,18.6,24.5,0.76,12.7,32.8,45.5,24.9,16.4,8.8,6.0,5.0,21.5,21.1,101.5
9,1610612745,Houston Rockets,82,45,37,0.549,48.4,35.9,79.2,0.453,6.1,17.2,0.357,19.3,25.4,0.758,11.2,30.8,42.0,19.7,14.7,7.2,4.4,4.9,20.2,0.0,97.2,2.3,36.8,82.1,0.449,4.4,12.4,0.354,16.9,22.7,0.744,12.0,29.5,41.6,21.2,13.3,7.4,4.9,4.4,21.6,20.2,94.9
10,1610612754,Indiana Pacers,82,41,41,0.5,48.7,34.5,78.4,0.44,4.8,14.1,0.342,18.8,24.5,0.766,11.2,31.6,42.9,21.5,15.2,6.9,5.9,4.7,23.5,0.1,92.6,-0.2,34.5,81.5,0.423,4.6,13.7,0.336,19.2,25.3,0.758,12.7,30.4,43.1,20.7,13.6,7.2,4.7,5.9,23.0,23.5,92.8
11,1610612746,Los Angeles Clippers,82,31,51,0.378,48.9,35.3,78.9,0.448,4.4,13.0,0.339,17.4,25.1,0.693,11.7,31.2,42.9,19.3,15.8,6.0,6.3,5.0,21.6,0.0,92.5,-2.9,36.5,82.9,0.44,4.3,13.1,0.329,18.0,24.2,0.743,12.7,29.7,42.4,21.8,12.7,7.8,5.0,6.3,21.9,21.6,95.3
12,1610612747,Los Angeles Lakers,82,56,26,0.683,48.5,37.9,81.5,0.465,5.4,15.5,0.344,19.4,28.5,0.683,13.2,31.5,44.7,23.0,14.4,6.9,6.0,4.0,22.8,0.1,100.6,3.4,36.4,83.1,0.438,5.0,14.2,0.354,19.5,25.8,0.754,12.0,29.4,41.3,20.2,13.1,7.5,4.0,6.0,24.4,22.8,97.2
13,1610612748,Miami Heat,82,50,32,0.61,48.5,32.9,76.3,0.43,5.8,16.9,0.345,17.4,22.9,0.759,9.9,29.7,39.6,19.9,13.7,7.7,3.7,5.2,21.0,0.1,88.9,2.3,32.9,76.4,0.431,4.4,13.3,0.331,16.3,22.2,0.737,11.1,30.8,42.0,17.3,15.5,7.3,5.2,3.7,22.2,21.0,86.6
14,1610612749,Milwaukee Bucks,82,52,30,0.634,48.2,38.0,82.9,0.458,6.9,18.1,0.379,18.0,22.9,0.787,11.9,30.5,42.4,22.5,13.7,8.2,4.7,4.3,23.5,0.1,100.7,3.9,35.5,80.8,0.439,5.4,15.2,0.352,20.5,26.7,0.768,12.4,30.4,42.7,23.0,15.5,7.2,4.3,4.7,21.7,23.5,96.9
15,1610612750,Minnesota Timberwolves,82,47,35,0.573,48.4,38.4,83.8,0.458,3.9,11.0,0.357,16.6,21.2,0.785,12.2,30.1,42.3,25.4,13.9,8.3,5.6,4.4,23.2,0.1,97.3,1.4,36.3,80.3,0.452,4.3,12.1,0.351,19.1,26.4,0.724,11.8,30.5,42.3,22.4,15.2,7.1,4.4,5.6,20.2,23.2,96.0
16,1610612751,New Jersey Nets,82,26,56,0.317,48.1,33.9,79.9,0.425,4.4,13.2,0.333,19.9,26.2,0.759,11.1,28.5,39.6,19.5,14.7,7.9,5.0,6.4,24.2,0.0,92.1,-5.0,35.8,78.7,0.455,5.2,14.5,0.36,20.3,27.2,0.746,12.2,32.0,44.2,22.4,15.9,7.5,6.4,5.0,22.0,24.2,97.1
17,1610612752,New York Knicks,82,48,34,0.585,48.5,33.6,75.6,0.444,4.8,13.6,0.351,16.8,21.1,0.796,9.4,30.8,40.2,18.5,14.5,6.6,4.2,4.1,22.7,0.1,88.7,2.6,31.3,75.1,0.417,5.4,15.4,0.352,18.0,24.6,0.733,10.6,29.5,40.1,19.2,14.8,7.3,4.1,4.2,21.4,22.7,86.1
